nbr_ba_id,var_ba_nombre,"var_ba_status",nbr_pol_id
155,San Roque,"En vigencia",155
156,El Condado,"En vigencia",156
157,San Diego,"En vigencia",157
158,Guamaní,"En vigencia",158
159,San Diego,"En vigencia",159
160,Cotocollao,"En vigencia",160
161,San Diego,"En vigencia",161
162,San Roque,"En vigencia",162
163,Iñaquito,"En vigencia",163
164,San Diego,"En vigencia",164
165,San Diego,"En vigencia",165
166,La Concepción,"En vigencia",166
167,San Diego,"En vigencia",167
168,San Diego,"En vigencia",168
169,San Roque,"En vigencia",169
170,La Mena,"En vigencia",170
171,San Diego,"En vigencia",171
172,San Diego,"En vigencia",172
173,San Roque,"En vigencia",173
174,San Roque,"En vigencia",174
175,San Diego,"En vigencia",175
176,San Diego,"En vigencia",176
177,Carcelén,"En vigencia",177
178,San Diego,"En vigencia",178
179,Puengasí,"En vigencia",179
180,La Ferroviaria,"En vigencia",180
181,San Diego,"En vigencia",181
182,Quitumbe,"En vigencia",182
183,Comité del Pueblo,"En vigencia",183
184,Iñaquito,"En vigencia",184
185,Kennedy,"En vigencia",185
186,San Diego,"En vigencia",186
187,Chillogallo,"En vigencia",187
188,San Diego,"En vigencia",188
189,San Diego,"En vigencia",189
190,San Diego,"En vigencia",190
191,San Diego,"En vigencia",191
192,Cochapamba,"En vigencia",192
193,Cotocollao,"En vigencia",193
194,San Juan,"En vigencia",194
195,San Diego,"En vigencia",195
196,San Diego,"En vigencia",196
197,San Roque,"En vigencia",197
198,San Diego,"En vigencia",198
199,San Diego,"En vigencia",199
200,La Argelia,"En vigencia",200
201,San Diego,"En vigencia",201
202,San Diego,"En vigencia",202
203,Quitumbe,"En vigencia",203
204,San Diego,"En vigencia",204
205,Centro Histórico,"En vigencia",205
206,San Diego,"En vigencia",206
207,San Roque,"No existe",207
208,Chimbacalle,"En vigencia",208
209,Chillogallo,"En vigencia",209
210,San Juan,"En vigencia",210
211,La Mena,"En vigencia",211
212,Kennedy,"En vigencia",212
213,San Diego,"En vigencia",213
214,San Diego,"En vigencia",214
215,San Diego,"En vigencia",215
216,San Diego,"En vigencia",216
217,San Diego,"En vigencia",217
218,San Diego,"En vigencia",218
219,San Diego,"En vigencia",219
220,San Diego,"En vigencia",220
221,San Diego,"En vigencia",221
222,San Diego,"En vigencia",222
223,San Diego,"En vigencia",223
224,La Mena,"En vigencia",224
225,San Diego,"En vigencia",225
226,Mariscal Sucre,"En vigencia",226
227,San Roque,"En vigencia",227
228,San Diego,"En vigencia",228
229,Centro Histórico,"En vigencia",229
230,San Diego,"En vigencia",230
231,San Diego,"En vigencia",231
232,San Diego,"En vigencia",232
233,San Roque,"En vigencia",233
234,Calderón,"En vigencia",234
235,San Diego,"En vigencia",235
236,San Diego,"En vigencia",236
237,San Diego,"En vigencia",237
238,San Juan,"En vigencia",238
239,San Diego,"En vigencia",239
240,San Diego,"En vigencia",240
241,San Diego,"En vigencia",241
242,Jipijapa,"En vigencia",242
243,La Ecuatoriana,"En vigencia",243
244,Cochapamba,"En vigencia",244
245,San Diego,"En vigencia",245
246,La Ferroviaria,"En vigencia",246
247,San Diego,"En vigencia",247
248,San Roque,"En vigencia",248
249,Quitumbe,"En vigencia",249
250,San Diego,"En vigencia",250
251,La Ferroviaria,"En vigencia",251
252,San Roque,"En vigencia",252
253,San Diego,"En vigencia",253
254,San Diego,"En vigencia",254
255,Chilibulo,"En vigencia",255
256,San Diego,"En vigencia",256
257,Itchimbía,"En vigencia",257
258,San Diego,"En vigencia",258
259,San Diego,"En vigencia",259
260,San Diego,"En vigencia",260
261,San Diego,"En vigencia",261
262,San Diego,"En vigencia",262
263,San Diego,"En vigencia",263
264,San Diego,"En vigencia",264
265,San Diego,"En vigencia",265
266,San Diego,"En vigencia",266
267,Itchimbía,"En vigencia",267
268,San Diego,"No existe",268
269,San Diego,"En vigencia",269
270,San Roque,"En vigencia",270
271,San Diego,"En vigencia",271
272,Iñaquito,"En vigencia",272
273,San Diego,"En vigencia",273
274,San Diego,"En vigencia",274
275,San Diego,"En vigencia",275
276,La Mena,"En vigencia",276
277,San Diego,"En vigencia",277
278,San Diego,"En vigencia",278
279,San Diego,"En vigencia",279
280,San Diego,"En vigencia",280
281,San Bartolo,"En vigencia",281
282,San Roque,"En vigencia",282
283,San Diego,"En vigencia",283
284,San Diego,"En vigencia",284
285,San Diego,"En vigencia",285
286,San Diego,"En vigencia",286
287,San Diego,"En vigencia",287
288,San Diego,"En vigencia",288
289,Chilibulo,"En vigencia",289
290,San Diego,"En vigencia",290
291,San Diego,"En vigencia",291
292,San Diego,"En vigencia",292
293,San Diego,"En vigencia",293
294,Kennedy,"En vigencia",294
295,San Diego,"En vigencia",295
296,Solanda,"En vigencia",296
297,Centro Histórico,"En vigencia",297
298,San Diego,"En vigencia",298
299,San Diego,"En vigencia",299
300,San Diego,"En vigencia",300
301,San Diego,"En vigencia",301
302,San Diego,"En vigencia",302
303,Puengasí,"En vigencia",303
304,San Diego,"En vigencia",304
305,San Diego,"En vigencia",305
306,San Diego,"En vigencia",306
307,Chillogallo,"En vigencia",307
308,La Libertad,"En vigencia",308
309,San Diego,"En vigencia",309
310,San Diego,"En vigencia",310
311,San Diego,"En vigencia",311
312,San Diego,"En vigencia",312
313,San Diego,"En vigencia",313
314,San Diego,"En vigencia",314
315,San Diego,"En vigencia",315
316,San Diego,"En vigencia",316
317,Quitumbe,"En vigencia",317
318,San Diego,"En vigencia",318
319,San Diego,"En vigencia",319
320,Kennedy,"En vigencia",320
321,San Diego,"En vigencia",321
322,Calderón,"En vigencia",322
323,Iñaquito,"En vigencia",323
324,San Diego,"En vigencia",324
325,San Diego,"En vigencia",325
326,Centro Histórico,"En vigencia",326
327,El Condado,"En vigencia",327
328,San Diego,"No existe",328
329,San Diego,"En vigencia",329
330,San Diego,"En vigencia",330
331,San Diego,"En vigencia",331
332,Jipijapa,"En vigencia",332
333,San Diego,"En vigencia",333
334,San Diego,"En vigencia",334
335,Chimbacalle,"En vigencia",335
336,Carcelén,"En vigencia",336
337,San Diego,"En vigencia",337
338,San Diego,"En vigencia",338
339,Chimbacalle,"En vigencia",339
340,La Concepción,"En vigencia",340
341,Puengasí,"En vigencia",341
342,La Ferroviaria,"En vigencia",342
343,Solanda,"En vigencia",343
344,San Diego,"En vigencia",344
345,San Roque,"En vigencia",345
346,San Diego,"En vigencia",346
347,San Diego,"En vigencia",347
348,La Argelia,"En vigencia",348
349,San Diego,"En vigencia",349
350,San Diego,"En vigencia",350
351,San Diego,"En vigencia",351
352,San Diego,"En vigencia",352
353,San Diego,"En vigencia",353
354,San Diego,"En vigencia",354
355,La Ecuatoriana,"En vigencia",355
356,Centro Histórico,"En vigencia",356
357,San Diego,"En vigencia",357
358,San Roque,"En vigencia",358
359,Chilibulo,"En vigencia",359
360,Cotocollao,"En vigencia",360
361,San Juan,"En vigencia",361
362,San Diego,"En vigencia",362
363,San Diego,"No existe",363
364,San Roque,"En vigencia",364
365,San Diego,"En vigencia",365
366,San Roque,"En vigencia",366
367,Cochapamba,"En vigencia",367
368,San Diego,"En vigencia",368
369,San Diego,"En vigencia",369
370,San Diego,"En vigencia",370
371,San Diego,"En vigencia",371
372,San Diego,"En vigencia",372
373,San Diego,"En vigencia",373
374,La Ferroviaria,"En vigencia",374
375,El Condado,"En vigencia",375
376,San Diego,"En vigencia",376
377,La Magdalena,"En vigencia",377
378,Chillogallo,"En vigencia",378
379,San Diego,"En vigencia",379
380,San Diego,"En vigencia",380
381,San Roque,"En vigencia",381
382,Solanda,"En vigencia",382
383,San Diego,"En vigencia",383
384,San Diego,"En vigencia",384
385,Jipijapa,"No existe",385
386,San Diego,"En vigencia",386
387,San Diego,"En vigencia",387
388,San Diego,"En vigencia",388
389,San Diego,"En vigencia",389
390,Chimbacalle,"En vigencia",390
391,San Diego,"En vigencia",391
392,San Diego,"En vigencia",392
393,San Diego,"En vigencia",393
394,La Libertad,"En vigencia",394
395,San Diego,"En vigencia",395
396,San Diego,"En vigencia",396
397,San Bartolo,"En vigencia",397
398,San Diego,"En vigencia",398
399,San Bartolo,"En vigencia",399
400,San Diego,"En vigencia",400
401,La Libertad,"En vigencia",401
402,San Diego,"En vigencia",402
403,La Concepción,"En vigencia",403
404,San Diego,"En vigencia",404
405,San Diego,"En vigencia",405
406,San Diego,"En vigencia",406
407,Chillogallo,"En vigencia",407
408,San Roque,"En vigencia",408
409,San Diego,"En vigencia",409
410,San Diego,"En vigencia",410
411,Chimbacalle,"En vigencia",411
412,La Ferroviaria,"En vigencia",412
413,San Diego,"En vigencia",413
414,La Concepción,"En vigencia",414
415,San Diego,"En vigencia",415
416,San Diego,"En vigencia",416
417,San Roque,"En vigencia",417
418,San Diego,"En vigencia",418
419,San Diego,"En vigencia",419
420,San Diego,"En vigencia",420
421,Chimbacalle,"En vigencia",421
422,San Diego,"En vigencia",422
423,San Diego,"En vigencia",423
424,La Magdalena,"En vigencia",424
425,La Argelia,"En vigencia",425
426,La Mena,"En vigencia",426
427,San Roque,"En vigencia",427
428,San Roque,"En vigencia",428
429,San Roque,"En vigencia",429
430,San Diego,"En vigencia",430
431,San Diego,"En vigencia",431
432,La Magdalena,"En vigencia",432
433,San Diego,"En vigencia",433
434,San Diego,"En vigencia",434
435,Turubamba,"En vigencia",435
436,San Diego,"En vigencia",436
437,San Diego,"No existe",437
438,Iñaquito,"En vigencia",438
439,San Diego,"En vigencia",439
440,San Diego,"No existe",440
441,Ponceano,"En vigencia",441
442,San Diego,"En vigencia",442
443,San Diego,"En vigencia",443
444,San Diego,"No existe",444
445,San Diego,"En vigencia",445
446,San Bartolo,"En vigencia",446
447,San Roque,"En vigencia",447
448,San Diego,"En vigencia",448
449,San Roque,"En vigencia",449
450,San Diego,"En vigencia",450
451,San Roque,"En vigencia",451
452,San Diego,"En vigencia",452
453,San Diego,"En vigencia",453
454,Puengasí,"En vigencia",454
455,Comité del Pueblo,"En vigencia",455
456,San Juan,"En vigencia",456
457,San Diego,"En vigencia",457
458,San Diego,"En vigencia",458
459,San Diego,"En vigencia",459
460,Cotocollao,"En vigencia",460
461,San Diego,"En vigencia",461
462,Cotocollao,"En vigencia",462
463,San Diego,"En vigencia",463
464,San Diego,"En vigencia",464
465,Carcelén,"En vigencia",465
466,San Diego,"En vigencia",466
467,Rumipamba,"En vigencia",467
468,San Diego,"En vigencia",468
469,San Diego,"En vigencia",469
470,San Diego,"En vigencia",470
471,La Argelia,"En vigencia",471
472,San Diego,"En vigencia",472
473,San Juan,"En vigencia",473
474,La Ecuatoriana,"En vigencia",474
475,San Diego,"En vigencia",475
476,San Diego,"En vigencia",476
477,San Diego,"En vigencia",477
478,San Diego,"En vigencia",478
479,Chillogallo,"En vigencia",479
480,San Diego,"En vigencia",480
481,San Diego,"En vigencia",481
482,San Diego,"En vigencia",482
483,San Diego,"En vigencia",483
484,San Diego,"No existe",484
485,Chilibulo,"En vigencia",485
486,San Diego,"En vigencia",486
487,San Diego,"En vigencia",487
488,San Diego,"En vigencia",488
489,Quitumbe,"En vigencia",489
490,Solanda,"En vigencia",490
491,San Diego,"En vigencia",491
492,Ponceano,"En vigencia",492
493,Chilibulo,"No existe",493
494,San Diego,"En vigencia",494
495,San Roque,"En vigencia",495
496,San Roque,"En vigencia",496
497,San Diego,"En vigencia",497
498,San Diego,"En vigencia",498
499,Chimbacalle,"En vigencia",499
500,San Diego,"En vigencia",500
501,Calderón,"En vigencia",501
502,San Diego,"En vigencia",502
503,San Diego,"No existe",503
504,San Roque,"En vigencia",504
505,Ponceano,"En vigencia",505
506,San Diego,"En vigencia",506
507,San Diego,"En vigencia",507
508,Cotocollao,"En vigencia",508
509,San Diego,"En vigencia",509
510,San Diego,"En vigencia",510
511,Mariscal Sucre,"En vigencia",511
512,San Diego,"En vigencia",512
513,San Diego,"En vigencia",513
514,San Diego,"En vigencia",514
515,San Diego,"En vigencia",515
516,Carcelén,"En vigencia",516
517,El Condado,"En vigencia",517
518,San Diego,"En vigencia",518
519,San Diego,"En vigencia",519
520,Comité del Pueblo,"En vigencia",520
521,San Diego,"En vigencia",521
522,Puengasí,"En vigencia",522
523,San Diego,"En vigencia",523
524,Chilibulo,"En vigencia",524
525,Rumipamba,"En vigencia",525
526,San Diego,"En vigencia",526
527,San Diego,"En vigencia",527
528,La Mena,"En vigencia",528
529,San Diego,"En vigencia",529
530,Chimbacalle,"En vigencia",530
531,Calderón,"En vigencia",531
532,San Roque,"En vigencia",532
533,San Diego,"En vigencia",533
534,San Diego,"En vigencia",534
535,La Argelia,"En vigencia",535
536,San Diego,"En vigencia",536
537,San Diego,"En vigencia",537
538,San Diego,"En vigencia",538
539,San Roque,"En vigencia",539
540,San Diego,"En vigencia",540
541,Cotocollao,"No existe",541
542,Ponceano,"En vigencia",542
543,San Roque,"En vigencia",543
544,Jipijapa,"En vigencia",544
545,Jipijapa,"En vigencia",545
546,Chilibulo,"En vigencia",546
547,San Diego,"En vigencia",547
548,San Diego,"En vigencia",548
549,San Diego,"En vigencia",549
550,San Roque,"En vigencia",550
551,San Diego,"En vigencia",551
552,San Diego,"En vigencia",552
553,San Diego,"En vigencia",553
554,El Condado,"En vigencia",554
555,San Diego,"En vigencia",555
556,San Diego,"En vigencia",556
557,Cochapamba,"En vigencia",557
558,San Roque,"En vigencia",558
559,San Diego,"En vigencia",559
560,San Diego,"En vigencia",560
561,San Diego,"En vigencia",561
562,San Diego,"En vigencia",562
563,La Libertad,"En vigencia",563
564,San Roque,"En vigencia",564
565,San Diego,"En vigencia",565
566,San Diego,"En vigencia",566
567,La Argelia,"En vigencia",567
568,Solanda,"En vigencia",568
569,San Diego,"En vigencia",569
570,San Diego,"En vigencia",570
571,San Diego,"En vigencia",571
572,Calderón,"En vigencia",572
573,San Diego,"En vigencia",573
574,Belisario Quevedo,"En vigencia",574
575,La Libertad,"En vigencia",575
576,San Diego,"En vigencia",576
577,San Diego,"En vigencia",577
578,San Diego,"En vigencia",578
579,San Diego,"En vigencia",579
580,La Libertad,"En vigencia",580
581,Cochapamba,"En vigencia",581
582,San Diego,"En vigencia",582
583,San Diego,"En vigencia",583
584,San Diego,"En vigencia",584
585,Belisario Quevedo,"En vigencia",585
586,San Diego,"En vigencia",586
587,Iñaquito,"En vigencia",587
588,San Diego,"En vigencia",588
589,El Condado,"En vigencia",589
590,Quitumbe,"En vigencia",590
591,San Diego,"En vigencia",591
592,San Roque,"En vigencia",592
593,Chimbacalle,"En vigencia",593
594,San Roque,"En vigencia",594
595,San Diego,"En vigencia",595
596,San Diego,"En vigencia",596
597,San Diego,"En vigencia",597
598,San Diego,"En vigencia",598
599,San Roque,"En vigencia",599
600,San Diego,"En vigencia",600
601,La Ecuatoriana,"En vigencia",601
602,San Diego,"En vigencia",602
603,El Condado,"En vigencia",603
604,San Diego,"En vigencia",604
605,San Diego,"En vigencia",605
606,San Roque,"En vigencia",606
607,Itchimbía,"No existe",607
608,San Diego,"En vigencia",608
609,Guamaní,"En vigencia",609
610,San Diego,"En vigencia",610
611,San Diego,"En vigencia",611
612,San Diego,"En vigencia",612
613,San Roque,"En vigencia",613
614,San Diego,"En vigencia",614
615,San Diego,"En vigencia",615
616,San Diego,"En vigencia",616
617,San Diego,"En vigencia",617
618,El Condado,"En vigencia",618
619,Guamaní,"En vigencia",619
620,San Diego,"En vigencia",620
621,San Roque,"En vigencia",621
622,Mariscal Sucre,"En vigencia",622
623,San Diego,"En vigencia",623
624,San Diego,"En vigencia",624
625,San Diego,"En vigencia",625
626,Turubamba,"No existe",626
627,San Diego,"En vigencia",627
628,San Roque,"En vigencia",628
629,San Roque,"En vigencia",629
630,Carcelén,"En vigencia",630
631,San Diego,"En vigencia",631
632,Rumipamba,"En vigencia",632
633,Puengasí,"En vigencia",633
634,Belisario Quevedo,"En vigencia",634
635,San Diego,"En vigencia",635
636,San Diego,"En vigencia",636
637,San Diego,"En vigencia",637
638,San Roque,"En vigencia",638
639,San Diego,"En vigencia",639
640,San Diego,"En vigencia",640
641,San Diego,"En vigencia",641
642,San Diego,"En vigencia",642
643,San Diego,"En vigencia",643
644,San Diego,"En vigencia",644
645,San Diego,"En vigencia",645
646,La Magdalena,"En vigencia",646
647,Itchimbía,"No existe",647
648,San Diego,"En vigencia",648
649,San Diego,"En vigencia",649
650,San Diego,"En vigencia",650
651,Turubamba,"En vigencia",651
652,San Diego,"En vigencia",652
653,San Diego,"En vigencia",653
654,San Diego,"En vigencia",654
655,Ponceano,"En vigencia",655
656,Turubamba,"En vigencia",656
657,San Diego,"En vigencia",657
658,San Diego,"En vigencia",658
659,San Diego,"En vigencia",659
660,El Condado,"En vigencia",660
661,San Diego,"En vigencia",661
662,San Diego,"En vigencia",662
663,San Roque,"En vigencia",663
664,San Diego,"En vigencia",664
665,San Diego,"En vigencia",665
666,San Diego,"En vigencia",666
667,San Diego,"En vigencia",667
668,San Diego,"En vigencia",668
669,Cotocollao,"En vigencia",669
670,San Diego,"En vigencia",670
671,Chillogallo,"En vigencia",671
672,San Diego,"En vigencia",672
673,Mariscal Sucre,"En vigencia",673
674,San Diego,"En vigencia",674
675,San Diego,"En vigencia",675
676,San Roque,"En vigencia",676
677,Cotocollao,"En vigencia",677
678,Quitumbe,"En vigencia",678
679,San Diego,"En vigencia",679
680,San Diego,"En vigencia",680
681,Chillogallo,"En vigencia",681
682,Kennedy,"En vigencia",682
683,San Roque,"En vigencia",683
684,Chillogallo,"En vigencia",684
685,San Diego,"En vigencia",685
686,San Juan,"En vigencia",686
687,Mariscal Sucre,"En vigencia",687
688,San Diego,"En vigencia",688
689,San Diego,"En vigencia",689
690,San Diego,"En vigencia",690
691,San Diego,"En vigencia",691
692,San Diego,"En vigencia",692
693,San Diego,"En vigencia",693
694,Comité del Pueblo,"En vigencia",694
695,Itchimbía,"En vigencia",695
696,San Diego,"En vigencia",696
697,San Diego,"En vigencia",697
698,San Diego,"En vigencia",698
699,La Argelia,"En vigencia",699
700,San Diego,"En vigencia",700
701,Solanda,"En vigencia",701
702,San Diego,"En vigencia",702
703,Chillogallo,"En vigencia",703
704,San Diego,"En vigencia",704
705,San Diego,"En vigencia",705
706,San Diego,"En vigencia",706
707,San Diego,"En vigencia",707
708,San Diego,"No existe",708
709,San Diego,"En vigencia",709
710,Cotocollao,"En vigencia",710
711,San Diego,"En vigencia",711
712,San Diego,"En vigencia",712
713,San Diego,"En vigencia",713
714,Guamaní,"En vigencia",714
715,San Diego,"En vigencia",715
716,San Diego,"En vigencia",716
717,San Diego,"En vigencia",717
718,San Diego,"En vigencia",718
719,San Roque,"En vigencia",719
720,San Diego,"En vigencia",720
721,San Diego,"En vigencia",721
722,San Diego,"En vigencia",722
723,La Argelia,"En vigencia",723
724,San Roque,"En vigencia",724
725,San Diego,"En vigencia",725
726,San Diego,"En vigencia",726
727,Chilibulo,"No existe",727
728,El Condado,"En vigencia",728
729,San Diego,"En vigencia",729
730,San Diego,"En vigencia",730
731,Belisario Quevedo,"En vigencia",731
732,Guamaní,"En vigencia",732
733,San Diego,"En vigencia",733
734,San Diego,"En vigencia",734
735,San Diego,"En vigencia",735
736,Calderón,"En vigencia",736
737,San Diego,"En vigencia",737
738,San Diego,"En vigencia",738
739,San Diego,"En vigencia",739
740,San Diego,"En vigencia",740
741,Rumipamba,"En vigencia",741
742,San Roque,"En vigencia",742
743,San Diego,"En vigencia",743
744,San Diego,"En vigencia",744
745,San Roque,"En vigencia",745
746,San Roque,"En vigencia",746
747,La Mena,"En vigencia",747
748,Chilibulo,"En vigencia",748
749,La Libertad,"En vigencia",749
750,La Concepción,"En vigencia",750
751,San Diego,"En vigencia",751
752,San Diego,"En vigencia",752
753,Cotocollao,"En vigencia",753
754,San Diego,"En vigencia",754
755,San Diego,"En vigencia",755
756,San Diego,"En vigencia",756
757,San Diego,"En vigencia",757
758,Centro Histórico,"En vigencia",758
759,San Diego,"En vigencia",759
760,San Diego,"En vigencia",760
761,San Diego,"En vigencia",761
762,San Diego,"En vigencia",762
763,San Diego,"En vigencia",763
764,La Argelia,"En vigencia",764
765,San Diego,"En vigencia",765
766,San Diego,"En vigencia",766
767,San Diego,"En vigencia",767
768,San Diego,"En vigencia",768
769,San Diego,"No existe",769
770,Kennedy,"En vigencia",770
771,San Diego,"En vigencia",771
772,La Mena,"En vigencia",772
773,Centro Histórico,"No existe",773
774,San Diego,"En vigencia",774
775,San Diego,"En vigencia",775
776,Jipijapa,"En vigencia",776
777,San Diego,"En vigencia",777
778,San Diego,"En vigencia",778
779,San Diego,"En vigencia",779
780,San Diego,"En vigencia",780
781,La Magdalena,"En vigencia",781
782,San Diego,"En vigencia",782
783,Solanda,"En vigencia",783
784,San Diego,"En vigencia",784
785,Chimbacalle,"En vigencia",785
786,San Diego,"En vigencia",786
787,San Diego,"En vigencia",787
788,San Diego,"En vigencia",788
789,San Diego,"En vigencia",789
790,San Bartolo,"En vigencia",790
791,Kennedy,"En vigencia",791
792,San Roque,"En vigencia",792
793,La Mena,"En vigencia",793
794,Belisario Quevedo,"En vigencia",794
795,San Diego,"En vigencia",795
796,San Diego,"En vigencia",796
797,San Diego,"En vigencia",797
798,San Diego,"En vigencia",798
799,Solanda,"En vigencia",799
800,San Diego,"En vigencia",800
801,Jipijapa,"En vigencia",801
802,San Diego,"En vigencia",802
803,San Diego,"En vigencia",803
804,San Diego,"En vigencia",804
805,San Diego,"En vigencia",805
806,San Diego,"En vigencia",806
807,San Diego,"En vigencia",807
808,San Diego,"En vigencia",808
809,San Diego,"En vigencia",809
810,San Diego,"En vigencia",810
811,San Roque,"En vigencia",811
812,San Diego,"En vigencia",812
813,San Diego,"En vigencia",813
814,San Diego,"No existe",814
815,San Roque,"En vigencia",815
816,San Diego,"En vigencia",816
817,Chillogallo,"En vigencia",817
818,San Diego,"En vigencia",818
819,Ponceano,"En vigencia",819
820,San Diego,"En vigencia",820
821,Quitumbe,"En vigencia",821
822,San Diego,"En vigencia",822
823,Guamaní,"En vigencia",823
824,San Juan,"En vigencia",824
825,La Argelia,"En vigencia",825
826,Centro Histórico,"En vigencia",826
827,San Roque,"En vigencia",827
828,San Diego,"En vigencia",828
829,Mariscal Sucre,"En vigencia",829
830,San Diego,"En vigencia",830
831,Calderón,"En vigencia",831
832,La Concepción,"En vigencia",832
833,San Diego,"En vigencia",833
834,Quitumbe,"En vigencia",834
835,San Diego,"En vigencia",835
836,San Diego,"En vigencia",836
837,San Diego,"En vigencia",837
838,San Diego,"En vigencia",838
839,Rumipamba,"En vigencia",839
840,San Roque,"En vigencia",840
841,La Concepción,"En vigencia",841
842,San Diego,"En vigencia",842
843,San Diego,"No existe",843
844,San Diego,"En vigencia",844
